Sort;URL;Original title;S;Creator(s);Genres;Start;End;Media;Storage;Video;E;Mins;Hours;Added;comment
Prisoner;Cal.;The Prisoner;1;Patrick McGoohan / George Markstein;Drama | Mystery | Sci-Fi;1967;1968;Downloaded;external #1;DVDrip;17;48;13,60;;
I, Claudius;Cal.;I, Claudius;1;Jack Pulman;Drama | History;1976;1976;DVD;;;13;50;10,83;;
Edge of Darkness;Cal.;Edge of Darkness;1;;Drama | Thriller;1985;1985;Downloaded;external #1;DVDrip;6;50;5,00;;
Twin Peaks;Cal.;Twin Peaks;1;David Lynch & Mark Frost;Crime | Drama | Fantasy | Horror | Mystery | Romance | Sci-Fi | Thriller;1990;1990;Downloaded;external #1;DVDrip;8;48;6,40;;
Twin Peaks;Cal.;Twin Peaks;2;David Lynch & Mark Frost;Crime | Drama | Fantasy | Horror | Mystery | Romance | Sci-Fi | Thriller;1990;1991;Downloaded;external #1;DVDrip;22;48;17,60;;
Day Today;Cal.;The Day Today;1;Chris Morris, Armando Iannucci;Comedy;1994;1994;Downloaded;external #1;DVDrip;6;30;3,00;;
X-Files;Cal.;The X-Files;1;Chris Carter;Drama | Horror | Mystery | Sci-Fi | Thriller;1993;1994;Downloaded;external #1;h.264 .mp4 624x464 DVDrip;24;43;17,20;;
X-Files;Cal.;The X-Files;2;Chris Carter;Drama | Horror | Mystery | Sci-Fi | Thriller;1994;1995;Downloaded;external #1;h.264 .mp4 624x464 DVDrip;25;43;17,92;;
Space: Above and Beyond;Cal.;Space: Above and Beyond;1;Glen Morgan / James Wong;Drama | Sci-Fi;1995;1996;Downloaded;DELETED;DVDrip;24;45;18,00;;
X-Files;Cal.;The X-Files;3;Chris Carter;Drama | Horror | Mystery | Sci-Fi | Thriller;1995;1996;Downloaded;external #1;h.264 .mp4 624x464 DVDrip;24;43;17,20;;
Brass Eye;Cal.;Brass Eye;1;Chris Morris;Comedy | Documentary;1997;1997;Downloaded;external #1;DVDrip;7;25;2,92;;
Buffy the Vampire Slayer;Cal.;Buffy the Vampire Slayer;1;Joss Whedon;Drama | Fantasy;1997;1997;Downloaded;external #1;Low / Decent;12;43,5;8,70;;First season poor quality (source recordings)
X-Files;Cal.;The X-Files;4;Chris Carter;Drama | Horror | Mystery | Sci-Fi | Thriller;1996;1997;Downloaded;external #1;h.264 .mp4 624x464 DVDrip;24;43;17,20;;
Buffy the Vampire Slayer;Cal.;Buffy the Vampire Slayer;2;Joss Whedon;Drama | Fantasy;1997;1998;Downloaded;external #1;Low / Decent;22;43,5;15,95;;
South Park;Cal.;South Park;1;Trey Parker, Matt Stone;Animation | Comedy;1997;1998;Downloaded;external #1;decent (varying size);13;22;4,77;;
X-Files;Cal.;The X-Files;5;Chris Carter;Drama | Horror | Mystery | Sci-Fi | Thriller;1997;1998;Downloaded;external #1;h.264 .mp4 720x400 DVDrip;20;43;14,33;;
Buffy the Vampire Slayer;Cal.;Buffy the Vampire Slayer;3;Joss Whedon;Drama | Fantasy;1998;1999;Downloaded;external #1;Low / Decent;22;43,5;15,95;;
Cowboy Bepop;Cal.;Cowboy Bepop;1;;Animation | Action | Adventure | Comedy | Crime | Drama | Sci-Fi | Thriller;1998;1999;Downloaded;external #1;Good h264 DVD-rips;26;22;9,53;;both japanese and english audio
Sopranos, The;Cal.;Sopranos, The;1;David Chase;Crime | Drama | Thriller;1999;1999;DVD;;;13;50;10,83;;
South Park;Cal.;South Park;2;Trey Parker, Matt Stone;Animation | Comedy;1998;1999;Downloaded;external #1;decent (varying size);18;22;6,60;;
X-Files;Cal.;The X-Files;6;Chris Carter;Drama | Horror | Mystery | Sci-Fi | Thriller;1998;1999;Downloaded;external #1;h.264 .mp4 720x400 DVDrip;22;43;15,77;;
Angel;Cal.;Angel;1;Joss Whedon, David Greenwalt;Drama | Fantasy;1999;2000;DVD;;;22;42;15,40;;Angel - Series 1-5 - Complete box set
Black Books;Cal.;Black Books;1;Dylan Moran / Graham Linehan;Comedy;2000;2000;Downloaded;external #1;DVDrip;6;25;2,50;;
Buffy the Vampire Slayer;Cal.;Buffy the Vampire Slayer;4;Joss Whedon;Drama | Fantasy;1999;2000;Downloaded;external #1;Low / Decent;22;43,5;15,95;;
Frank Herbert's Dune;Cal.;Frank Herbert's Dune;1;John Harrison;Adventure | Drama | Fantasy | Sci-Fi;2000;2000;Downloaded;external #1;;3;90;4,50;;Miniseries
Freaks and Geeks;Cal.;Freaks and Geeks;1;Paul Feig;Comedy | Drama;1999;2000;Downloaded;external #1;DVDrip;18;43;12,90;;includes all extras from DVD
Sopranos, The;Cal.;Sopranos, The;2;David Chase;Crime | Drama | Thriller;2000;2000;DVD;;;13;50;10,83;;
South Park;Cal.;South Park;3;Trey Parker, Matt Stone;Animation | Comedy;1999;2000;Downloaded;external #1;decent (varying size);17;22;6,23;;
South Park;Cal.;South Park;4;Trey Parker, Matt Stone;Animation | Comedy;2000;2000;Downloaded;external #1;decent (varying size);17;22;6,23;;
West Wing;Cal.;The West Wing;1;Aaron Sorkin;Drama;1999;2000;Downloaded;T:\TV\;DVDrip;22;42;15,40;;
X-Files;Cal.;The X-Files;7;Chris Carter;Drama | Horror | Mystery | Sci-Fi | Thriller;1999;2000;Downloaded;external #1;h.264 .mp4 720x400 DVDrip;22;43;15,77;;
Angel;Cal.;Angel;2;Joss Whedon, David Greenwalt;Drama | Fantasy;2000;2001;DVD;;;22;42;15,40;;Angel - Series 1-5 - Complete box set
